Package                           Version
--------------------------------- ------------
aiofiles                          24.1.0
aiohappyeyeballs                  2.6.1
aiohttp                           3.12.9
aiosignal                         1.3.2
aiosqlite                         0.21.0
alphashape                        1.3.1
annotated-types                   0.7.0
anyio                             4.9.0
astroid                           3.3.9
asttokens                         3.0.0
async-timeout                     5.0.1
attrs                             25.3.0
Automat                           25.4.16
beautifulsoup4                    4.13.4
boto3                             1.39.3
botocore                          1.39.3
Brotli                            1.1.0
build                             1.0.3
cachetools                        5.5.2
certifi                           2025.7.14
cffi                              1.17.1
chardet                           5.2.0
charset-normalizer                3.4.2
click                             8.2.1
click-log                         0.4.0
colorama                          0.4.6
constantly                        23.10.4
Crawl4AI                          0.7.2
cryptography                      45.0.3
cssselect                         1.3.0
dataclasses-json                  0.6.7
ddgs                              9.0.0
defusedxml                        0.7.1
Deprecated                        1.2.18
dill                              0.4.0
distro                            1.9.0
dnspython                         2.7.0
docutils                          0.21.2
duckduckgo_search                 8.1.1
email_validator                   2.2.0
et_xmlfile                        2.0.0
fake-http-header                  0.3.5
fake-useragent                    2.2.0
fastapi                           0.115.12
filelock                          3.18.0
filetype                          1.2.0
free_proxy                        1.1.3
frozenlist                        1.6.2
fsspec                            2025.5.1
google-ai-generativelanguage      0.6.15
google-api-core                   2.25.1
google-api-python-client          2.177.0
google-auth                       2.40.3
google-auth-httplib2              0.2.0
google-generativeai               0.8.5
googleapis-common-protos          1.70.0
greenlet                          3.2.3
groq                              0.30.0
grpcio                            1.73.1
grpcio-status                     1.71.2
gunicorn                          23.0.0
h11                               0.16.0
h2                                4.2.0
hpack                             4.1.0
html2text                         2025.4.15
httpcore                          1.0.9
httplib2                          0.22.0
httptools                         0.6.4
httpx                             0.28.1
httpx-sse                         0.4.0
huggingface-hub                   0.32.4
humanize                          4.12.3
hyperframe                        6.1.0
hyperlink                         21.0.0
idna                              3.10
importlib_metadata                8.7.0
incremental                       24.7.2
isort                             6.0.1
itemadapter                       0.11.0
itemloaders                       1.3.2
jedi                              0.19.2
Jinja2                            3.1.6
jiter                             0.10.0
jmespath                          1.0.1
joblib                            1.5.1
jsonpatch                         1.33
jsonpointer                       3.0.0
jsonschema                        4.24.0
jsonschema-specifications         2025.4.1
jwt                               1.3.1
langchain                         0.3.26
langchain-aws                     0.2.27
langchain-community               0.3.27
langchain-core                    0.3.68
langchain-google-genai            2.1.6
langchain-mistralai               0.2.10
langchain-ollama                  0.3.3
langchain-openai                  0.3.27
langchain-text-splitters          0.3.8
