epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.12113,1.47162,2.94951,1.72729,0.00383,1,0.54555,0.3356,1.18454,3.03014,1.5242,0.00034,0.00034,0.00034
2,3.98709,1.28664,2.34587,1.54761,0.12563,0.73913,0.37991,0.18237,1.62741,3.02824,2.02683,0.00069769,0.00069769,0.00069769
3,5.86127,1.36259,2.42548,1.61685,0.58573,0.34783,0.44244,0.14881,1.92272,3.20635,2.5101,0.001053,0.001053,0.001053
4,7.7068,1.37799,2.21739,1.63429,0.23656,0.3913,0.31551,0.11311,1.8652,3.36835,2.62465,0.00140594,0.00140594,0.00140594
5,9.5418,1.4526,2.3296,1.6809,0.28567,0.43478,0.23992,0.05064,2.87355,7.87211,4.24388,0.0017565,0.0017565,0.0017565
6,11.4366,1.50935,2.27359,1.74081,0.19447,0.23126,0.1724,0.04427,2.85193,14.3538,5.63682,0.001967,0.001967,0.001967
7,13.2954,1.51766,2.23359,1.72122,0.03595,0.21739,0.01892,0.00443,3.59148,52.921,7.89347,0.0019604,0.0019604,0.0019604
8,15.0973,1.52469,2.15033,1.76452,0.13156,0.08696,0.07163,0.02014,3.28063,5.96894,4.1191,0.0019538,0.0019538,0.0019538
9,16.9306,1.53251,2.04949,1.7488,0.16379,0.13043,0.13977,0.04058,2.78549,8.14398,3.88866,0.0019472,0.0019472,0.0019472
10,18.7385,1.44779,1.87339,1.69392,0.51498,0.56522,0.51701,0.17214,2.17066,3.87122,2.67287,0.0019406,0.0019406,0.0019406
11,20.5427,1.41465,1.82407,1.67795,0.2852,0.47826,0.3873,0.12035,2.32684,3.6406,3.00567,0.001934,0.001934,0.001934
12,22.4059,1.38759,1.79733,1.6275,0.31125,0.56522,0.32716,0.09983,2.6685,2.1014,3.03111,0.0019274,0.0019274,0.0019274
13,24.2336,1.54975,1.86862,1.70655,0.39156,0.39174,0.30804,0.10277,2.38905,2.22508,3.05637,0.0019208,0.0019208,0.0019208
14,26.1238,1.45271,1.79123,1.65115,0.50319,0.30435,0.27903,0.11002,1.71263,2.67067,2.11374,0.0019142,0.0019142,0.0019142
15,27.9688,1.41686,1.73719,1.64272,0.59537,0.56522,0.61459,0.2748,1.71472,2.24304,2.15159,0.0019076,0.0019076,0.0019076
16,29.7833,1.3702,1.67919,1.59133,0.66044,0.67696,0.66442,0.37907,1.46414,2.60641,1.80938,0.001901,0.001901,0.001901
17,31.6071,1.38141,1.67146,1.59014,0.58149,0.52174,0.62677,0.26448,1.92289,2.37202,2.15849,0.0018944,0.0018944,0.0018944
18,33.4283,1.38611,1.64253,1.61121,0.6849,0.65217,0.68296,0.39442,1.54415,1.65833,2.01681,0.0018878,0.0018878,0.0018878
19,35.2236,1.29337,1.59771,1.55002,0.90439,0.82269,0.83554,0.51486,1.54747,1.35542,1.84153,0.0018812,0.0018812,0.0018812
20,37.0284,1.28736,1.52856,1.53353,0.68234,0.65217,0.70203,0.37499,1.67096,1.58164,2.01544,0.0018746,0.0018746,0.0018746
21,38.8509,1.25226,1.47463,1.52093,0.73781,0.47826,0.66062,0.38683,1.43321,1.54575,1.64697,0.001868,0.001868,0.001868
22,40.6943,1.24349,1.42085,1.51164,0.56021,0.6087,0.56529,0.31827,1.70336,2.61151,2.09551,0.0018614,0.0018614,0.0018614
23,42.5319,1.226,1.43171,1.50241,0.79318,0.56522,0.69284,0.30465,1.92154,1.60301,2.20999,0.0018548,0.0018548,0.0018548
24,44.4228,1.27696,1.43003,1.54246,0.68042,0.83332,0.85794,0.49167,1.44525,1.18694,1.85663,0.0018482,0.0018482,0.0018482
25,46.3016,1.22485,1.40549,1.48574,0.69332,0.78261,0.84846,0.45138,1.46088,1.27359,1.71475,0.0018416,0.0018416,0.0018416
26,48.107,1.21663,1.40791,1.48492,0.54104,0.73913,0.69122,0.32229,1.39468,1.72053,1.75501,0.001835,0.001835,0.001835
27,49.9343,1.20814,1.40758,1.46292,0.68592,0.65217,0.7031,0.38988,1.59074,1.45505,2.01551,0.0018284,0.0018284,0.0018284
28,51.7883,1.20344,1.45152,1.47806,0.69761,0.69565,0.72862,0.35473,1.69301,1.50567,2.02873,0.0018218,0.0018218,0.0018218
29,53.6116,1.13585,1.28151,1.42548,0.61109,0.73913,0.749,0.48967,1.37297,1.43817,1.63823,0.0018152,0.0018152,0.0018152
30,55.4486,1.12378,1.24336,1.3879,0.71877,0.91304,0.89591,0.59221,1.06878,1.13079,1.43139,0.0018086,0.0018086,0.0018086
31,57.2672,1.12137,1.25485,1.41404,0.69193,0.82609,0.80326,0.42367,1.40046,1.22546,1.77218,0.001802,0.001802,0.001802
32,59.1294,1.21423,1.35232,1.46576,0.42184,0.63476,0.46029,0.18549,1.94279,1.96817,2.12987,0.0017954,0.0017954,0.0017954
33,60.9454,1.1677,1.25386,1.45211,0.5265,0.82609,0.76778,0.40092,1.48224,1.45251,1.84693,0.0017888,0.0017888,0.0017888
34,62.8641,1.08621,1.26441,1.37884,0.75282,0.6087,0.69041,0.39445,1.49391,1.55864,1.80063,0.0017822,0.0017822,0.0017822
35,64.6843,1.13285,1.22367,1.39973,0.82382,0.65217,0.78196,0.5081,1.25798,1.38739,1.59815,0.0017756,0.0017756,0.0017756
36,66.4762,1.11266,1.17694,1.39528,0.65365,0.82609,0.812,0.50945,1.19466,1.05499,1.56083,0.001769,0.001769,0.001769
37,68.2975,1.13238,1.18053,1.41231,0.67514,0.73913,0.76215,0.49898,1.38523,1.1586,1.62529,0.0017624,0.0017624,0.0017624
38,70.1593,1.12802,1.20929,1.41595,0.79191,0.99297,0.92975,0.50449,1.34785,1.12054,1.56108,0.0017558,0.0017558,0.0017558
39,72.0082,1.08203,1.20447,1.36938,0.79143,0.99015,0.86732,0.59344,1.17776,1.06931,1.43927,0.0017492,0.0017492,0.0017492
40,73.8773,1.08903,1.18969,1.38262,0.76607,0.85468,0.88243,0.62426,1.21537,1.01545,1.50482,0.0017426,0.0017426,0.0017426
41,75.6689,1.06785,1.14264,1.37468,0.85585,0.82609,0.93577,0.63193,0.99854,0.93234,1.36844,0.001736,0.001736,0.001736
42,77.5844,0.98209,1.03594,1.29296,0.92665,0.78261,0.90662,0.59421,1.35055,0.96385,1.73189,0.0017294,0.0017294,0.0017294
43,79.4066,1.06878,1.16594,1.36638,0.76783,0.6087,0.75337,0.46994,1.51465,1.19999,1.90168,0.0017228,0.0017228,0.0017228
44,81.1896,1.0754,1.14342,1.33764,0.77593,0.95652,0.92463,0.61856,1.05637,1.04347,1.50186,0.0017162,0.0017162,0.0017162
45,82.976,0.99229,1.09499,1.3091,0.74619,0.78261,0.80036,0.50463,1.26839,1.43597,1.63442,0.0017096,0.0017096,0.0017096
46,84.7583,0.9952,1.06331,1.31921,0.70208,0.81988,0.77789,0.52104,1.40633,1.08364,1.79384,0.001703,0.001703,0.001703
47,86.5524,0.97793,1.06899,1.31221,0.77218,0.88458,0.89826,0.57463,1.09814,1.00795,1.4817,0.0016964,0.0016964,0.0016964
48,88.3401,0.96631,1.11601,1.32119,0.9933,0.91304,0.95908,0.65509,1.2083,0.82292,1.52554,0.0016898,0.0016898,0.0016898
49,90.1348,1.0621,1.13541,1.38314,0.91215,0.90321,0.95422,0.62224,1.11621,0.8826,1.39119,0.0016832,0.0016832,0.0016832
50,91.916,0.97237,1.05671,1.30754,0.89823,0.95652,0.95065,0.64845,0.98187,0.98006,1.36665,0.0016766,0.0016766,0.0016766
51,93.6887,0.9529,1.0299,1.27382,0.7555,1,0.91361,0.62783,1.08222,0.913,1.46709,0.00167,0.00167,0.00167
52,95.4718,0.98514,1.0324,1.31136,0.85096,0.91304,0.9457,0.59547,1.09569,0.94259,1.44229,0.0016634,0.0016634,0.0016634
53,97.255,0.98021,1.02122,1.27137,0.87458,0.95652,0.9666,0.58419,1.11938,1.03372,1.422,0.0016568,0.0016568,0.0016568
54,99.1381,0.94871,1.02734,1.27015,0.54514,0.86957,0.73642,0.56582,1.11979,1.15128,1.52384,0.0016502,0.0016502,0.0016502
55,100.907,0.92723,1.04326,1.28301,0.85167,0.91304,0.94234,0.63777,1.11401,0.88216,1.56279,0.0016436,0.0016436,0.0016436
56,102.686,0.96558,1.05512,1.29314,0.89795,0.82609,0.91741,0.52623,1.57006,0.99183,1.75364,0.001637,0.001637,0.001637
57,104.473,0.94343,1.01422,1.26588,0.68303,0.82609,0.76439,0.43329,1.66074,1.29195,1.8566,0.0016304,0.0016304,0.0016304
58,106.256,0.91603,0.97123,1.26105,0.74652,0.91304,0.92209,0.6566,1.0121,0.93161,1.3872,0.0016238,0.0016238,0.0016238
59,108.044,0.94259,1.00051,1.26376,0.97289,1,0.995,0.70547,0.95348,0.7751,1.38668,0.0016172,0.0016172,0.0016172
60,109.832,0.95102,0.99143,1.29725,0.83853,1,0.95341,0.73563,0.83771,0.76891,1.2913,0.0016106,0.0016106,0.0016106
61,111.66,0.90327,0.95996,1.23147,0.95087,0.84196,0.96611,0.66982,1.09357,0.91841,1.53104,0.001604,0.001604,0.001604
62,113.505,0.95288,1.0142,1.2967,0.85884,0.91304,0.89216,0.62104,1.1453,0.87551,1.49756,0.0015974,0.0015974,0.0015974
63,115.293,0.88849,0.97838,1.2629,0.87669,1,0.96091,0.68192,0.98491,0.80402,1.36663,0.0015908,0.0015908,0.0015908
64,117.078,0.89926,0.96742,1.24655,1,0.98917,0.995,0.65851,1.06056,0.77036,1.41037,0.0015842,0.0015842,0.0015842
65,118.864,0.9267,0.92844,1.23089,0.84853,1,0.98165,0.7912,0.86757,0.67908,1.28644,0.0015776,0.0015776,0.0015776
66,120.684,0.93698,0.9973,1.26349,0.94996,0.82541,0.93969,0.7173,0.93485,0.75458,1.28842,0.001571,0.001571,0.001571
67,122.472,0.84281,0.86959,1.19803,0.86069,0.95652,0.96399,0.68624,0.91208,0.79773,1.27937,0.0015644,0.0015644,0.0015644
68,124.275,0.88067,0.92921,1.2432,0.88544,1,0.98633,0.63948,1.10589,0.74679,1.46143,0.0015578,0.0015578,0.0015578
69,126.076,0.94424,0.98783,1.28443,0.95728,0.91304,0.98306,0.69547,0.96706,0.75333,1.41256,0.0015512,0.0015512,0.0015512
70,127.866,0.85924,0.8937,1.23654,0.90951,0.95652,0.95042,0.67501,1.07041,0.78334,1.4884,0.0015446,0.0015446,0.0015446
71,129.659,0.8699,0.97935,1.23026,0.97081,0.91304,0.98393,0.65411,1.15407,0.81474,1.47976,0.001538,0.001538,0.001538
72,131.464,0.89079,0.96669,1.26104,0.95818,0.99643,0.99167,0.76076,0.84459,0.67126,1.15102,0.0015314,0.0015314,0.0015314
73,133.243,0.85655,0.8734,1.21915,0.9444,1,0.99333,0.78124,0.84597,0.78931,1.21178,0.0015248,0.0015248,0.0015248
74,135.137,0.90062,0.96469,1.24794,0.81833,1,0.94863,0.70981,0.98863,0.74485,1.36292,0.0015182,0.0015182,0.0015182
75,136.905,0.84836,0.92174,1.24738,0.954,0.90209,0.9541,0.70024,1.03071,0.76583,1.45309,0.0015116,0.0015116,0.0015116
76,138.686,0.87843,0.92707,1.23345,0.79241,1,0.94092,0.64412,1.0695,0.91328,1.35392,0.001505,0.001505,0.001505
77,140.475,0.88095,0.92264,1.23071,0.87237,1,0.94598,0.56979,1.22363,0.86276,1.536,0.0014984,0.0014984,0.0014984
78,142.265,0.88464,0.88827,1.26729,0.86773,0.91304,0.91931,0.60825,1.27986,0.86609,1.64143,0.0014918,0.0014918,0.0014918
79,144.049,0.86395,0.88539,1.22859,0.95829,1,0.995,0.67653,1.00185,0.75994,1.47278,0.0014852,0.0014852,0.0014852
80,145.872,0.82599,0.85062,1.1989,0.88307,0.98544,0.94938,0.61368,0.97998,0.78219,1.44206,0.0014786,0.0014786,0.0014786
81,147.652,0.78867,0.80486,1.17723,0.95829,0.99896,0.98625,0.62897,0.9807,0.77999,1.42995,0.001472,0.001472,0.001472
82,149.459,0.8938,0.91813,1.23269,0.83703,0.89364,0.92121,0.63156,1.02803,0.7928,1.41849,0.0014654,0.0014654,0.0014654
83,151.264,0.82492,0.84021,1.18145,0.88979,0.91304,0.94796,0.61046,0.96532,0.8715,1.38713,0.0014588,0.0014588,0.0014588
84,153.044,0.86004,0.90498,1.22048,0.95292,0.95652,0.98865,0.69382,0.97424,0.72524,1.41283,0.0014522,0.0014522,0.0014522
85,154.845,0.79407,0.81103,1.15248,0.92739,0.95652,0.98342,0.73592,0.88948,0.62879,1.48737,0.0014456,0.0014456,0.0014456
86,156.639,0.79219,0.81681,1.18917,0.90991,0.95652,0.98394,0.67434,0.97078,0.67877,1.45749,0.001439,0.001439,0.001439
87,158.431,0.86709,0.87504,1.21965,0.91647,0.95416,0.96789,0.66209,1.01054,0.75873,1.42405,0.0014324,0.0014324,0.0014324
88,160.223,0.8196,0.8352,1.19516,0.90729,0.95652,0.97983,0.73397,0.89905,0.67401,1.26522,0.0014258,0.0014258,0.0014258
89,162.012,0.8604,0.8619,1.23013,0.91558,0.95652,0.97538,0.75612,0.79113,0.64892,1.18695,0.0014192,0.0014192,0.0014192
90,163.803,0.80926,0.83065,1.16713,1,0.91066,0.98294,0.76161,0.82238,0.62078,1.25046,0.0014126,0.0014126,0.0014126
91,165.586,0.84335,0.82665,1.24072,0.99351,0.95652,0.99333,0.77098,0.89486,0.5953,1.26478,0.001406,0.001406,0.001406
92,167.373,0.83875,0.85669,1.20768,0.98042,0.95652,0.98288,0.68342,1.03114,0.72109,1.29225,0.0013994,0.0013994,0.0013994
93,169.166,0.77938,0.85173,1.16658,0.88429,0.99692,0.96932,0.72264,0.9317,0.70091,1.27406,0.0013928,0.0013928,0.0013928
94,170.962,0.80755,0.8046,1.18531,0.99506,0.95652,0.99333,0.7498,0.9029,0.61165,1.27121,0.0013862,0.0013862,0.0013862
95,172.748,0.78079,0.75809,1.16221,0.95798,1,0.99333,0.77562,0.80624,0.60075,1.24523,0.0013796,0.0013796,0.0013796
96,174.649,0.79541,0.78595,1.1971,0.9082,0.91304,0.96108,0.72156,0.83751,0.70709,1.21167,0.001373,0.001373,0.001373
97,176.44,0.78154,0.78942,1.16432,0.95772,0.98527,0.98625,0.68445,1.00786,0.71755,1.21514,0.0013664,0.0013664,0.0013664
98,178.27,0.80982,0.805,1.18477,0.91908,0.98796,0.9886,0.76047,0.89604,0.61146,1.1528,0.0013598,0.0013598,0.0013598
99,180.073,0.75798,0.76272,1.14979,0.98011,0.95652,0.99038,0.79208,0.77275,0.58039,1.11902,0.0013532,0.0013532,0.0013532
100,181.872,0.77013,0.78255,1.15547,0.86593,0.95652,0.94318,0.71038,0.90986,0.71809,1.24783,0.0013466,0.0013466,0.0013466
101,183.657,0.75154,0.78015,1.13586,0.8444,0.9441,0.96763,0.70261,0.89329,0.72901,1.27236,0.00134,0.00134,0.00134
102,185.445,0.75689,0.73367,1.164,0.91079,1,0.98633,0.68715,0.89438,0.6425,1.22831,0.0013334,0.0013334,0.0013334
103,187.244,0.74225,0.75361,1.17628,0.93412,0.86957,0.94045,0.66235,0.96304,0.72754,1.28765,0.0013268,0.0013268,0.0013268
104,189.031,0.77042,0.76489,1.17479,0.75826,0.95469,0.87552,0.64884,0.89226,0.81449,1.27331,0.0013202,0.0013202,0.0013202
105,190.817,0.73956,0.74209,1.14448,0.90986,0.91304,0.94522,0.73576,0.86645,0.74565,1.25131,0.0013136,0.0013136,0.0013136
106,192.611,0.74798,0.80072,1.156,0.86756,0.82609,0.88677,0.6237,1.09884,0.78465,1.401,0.001307,0.001307,0.001307
107,194.399,0.79139,0.7862,1.18647,0.93527,0.86957,0.94263,0.69768,0.85006,0.71031,1.19446,0.0013004,0.0013004,0.0013004
108,196.191,0.69817,0.73289,1.12472,0.94035,0.91304,0.97208,0.71357,0.86754,0.72584,1.16288,0.0012938,0.0012938,0.0012938
109,197.98,0.74162,0.75108,1.15487,0.9465,1,0.98625,0.73684,0.8545,0.73482,1.21741,0.0012872,0.0012872,0.0012872
110,199.783,0.70295,0.70928,1.11177,0.92752,0.86957,0.96839,0.71795,0.87756,0.71071,1.22017,0.0012806,0.0012806,0.0012806
111,201.57,0.73234,0.77173,1.14291,0.94645,0.86957,0.9549,0.75108,0.85333,0.69048,1.20814,0.001274,0.001274,0.001274
112,203.362,0.73829,0.74253,1.15406,0.98161,0.91304,0.97003,0.77902,0.82006,0.60281,1.19294,0.0012674,0.0012674,0.0012674
113,205.169,0.74915,0.71843,1.16465,0.95645,0.9549,0.98082,0.77343,0.82171,0.57499,1.17913,0.0012608,0.0012608,0.0012608
