epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.03337,1.63688,3.82054,1.96775,0.00383,1,0.56762,0.27434,1.41965,3.30662,1.90405,0.00034,0.00034,0.00034
2,4.89825,1.19579,2.79697,1.62056,0.00598,0.95652,0.31965,0.16141,1.25895,3.07288,1.5783,0.0006307,0.0006307,0.0006307
3,6.71878,1.23056,2.59362,1.58257,0.62042,0.21739,0.29712,0.09797,2.39744,3.74968,3.06223,0.00085012,0.00085012,0.00085012
4,8.51296,1.24209,2.43227,1.61149,0.58494,0.43478,0.52687,0.21261,2.12078,3.03466,2.62551,0.00099826,0.00099826,0.00099826
5,10.3104,1.21787,2.24854,1.58325,0.474,0.52174,0.54192,0.25227,1.71162,2.34879,1.88184,0.00107512,0.00107512,0.00107512
6,12.133,1.22413,2.21299,1.58991,0.70107,0.56522,0.6997,0.41139,1.43372,1.85637,1.80841,0.00101,0.00101,0.00101
7,13.9194,1.19809,2.02665,1.56054,0.66644,0.69498,0.61639,0.31761,1.93762,1.95416,2.35917,0.000812,0.000812,0.000812
8,15.7129,1.07998,1.8751,1.47151,0.50544,0.6087,0.59547,0.33282,1.54096,2.0781,1.99725,0.000614,0.000614,0.000614
9,17.4883,1.0242,1.78267,1.42393,0.58206,0.78261,0.76064,0.47753,1.15245,1.60677,1.49158,0.000416,0.000416,0.000416
10,19.2907,0.90402,1.56136,1.34309,0.98888,0.78261,0.92599,0.65135,0.93795,1.24199,1.34279,0.000218,0.000218,0.000218
