trade_index,symbol,entry_date,exit_date,entry_sig_date,exit_sig_date,position,period,entry_index,exit_index,return,industry,stock_id,trade_price@entry_date,trade_price@exit_date,adj_close@entry_date,pct_change@entry_date,pct_change@exit_date,turnover@entry_date,turnover@exit_date,volume@entry_date,volume@exit_date,類別@entry_sig_date,類別@exit_sig_date,mae,gmfe,bmfe,mdd,pdays
0,2356 英業達,2023-06-12,2023-06-16,2023-06-09,2023-06-15,0.009615384615384616,4.0,3976.0,3980.0,0.2241978864935723,電腦及週邊設備業,2356 英業達,36.95,45.5,139.64535857236447,-0.04398447606727007,-0.010869565217391242,1618915993.3000002,6305196670.5,43813694.0,138575751.0,0,0,-0.0014250000000000096,0.24315155615696882,0.0,-0.010869565217391242,4.0
1,00701 國泰股利精選30,2023-06-12,2023-06-19,2023-06-09,2023-06-16,0.009615384615384616,5.0,3976.0,3981.0,0.013557674371451611,domestic_etf,00701 國泰股利精選30,24.66,25.03,31.414743411543437,0.0012180267965895553,-0.0011971268954508174,27407913.12,25624837.950000003,1111432.0,1023765.0,0,0,-0.0014250000000000096,0.014772485806974656,0.0,-0.0014250000000000096,5.0
2,00731 復華富時高息低波,2023-06-12,2023-06-19,2023-06-09,2023-06-16,0.009615384615384616,5.0,3976.0,3981.0,0.010557900000000009,domestic_etf,00731 復華富時高息低波,62.5,63.25,81.2279997083172,0.0,-0.0007898894154817482,53348500.0,52606669.5,853576.0,831726.0,0,0,-0.0014250000000000096,0.014552200000000015,0.0,-0.003937007874015741,5.0
3,00752 中信中國50,2023-06-12,2023-06-19,2023-06-09,2023-06-16,0.009615384615384616,5.0,3976.0,3981.0,0.035702927302996734,foreign_etf,00752 中信中國50,18.02,18.69,18.02,0.0011111111111110628,-0.01111111111111096,53107751.12,98172850.86,2947156.0,5252694.0,0,0,-0.0014250000000000096,0.047340038845726795,0.0,-0.01111111111111085,5.0
4,00830 國泰費城半導體,2023-06-12,2023-06-19,2023-06-09,2023-06-16,0.009615384615384616,5.0,3976.0,3981.0,0.03842943458980064,foreign_etf,00830 國泰費城半導體,31.57,32.83,34.9383539753163,0.008304056212072863,-0.005754088431253912,150308842.53,76069145.46,4761129.0,2317062.0,0,0,-0.0014250000000000096,0.05677512670256557,0.0,-0.017360071834779722,5.0
5,00876 元大全球5G,2023-06-12,2023-06-19,2023-06-09,2023-06-16,0.009615384615384616,5.0,3976.0,3981.0,0.032465615358245214,foreign_etf,00876 元大全球5G,29.17,30.16,29.17,0.004130808950085996,-0.0013245033112582183,61526530.800000004,20392684.0,2109240.0,676150.0,0,0,-0.0014250000000000096,0.03554658039081282,0.0,-0.002975206611570136,5.0
6,00881 國泰台灣科技龍頭,2023-06-12,2023-06-19,2023-06-09,2023-06-16,0.009615384615384616,5.0,3976.0,3981.0,0.034864824348879386,domestic_etf,00881 國泰台灣科技龍頭,16.51,17.11,18.327957683771025,0.008552229688454593,0.0035190615835776207,284500963.89000005,354347843.34999996,17232039.0,20709985.0,0,0,-0.0014250000000000096,0.034864824348879386,0.0,-0.003506721215663311,5.0
7,00885 富邦越南,2023-06-12,2023-06-19,2023-06-09,2023-06-16,0.009615384615384616,5.0,3976.0,3981.0,0.005136791583475242,foreign_etf,00885 富邦越南,11.77,11.9,11.77,-0.0025423728813560587,-0.011627906976744096,192774568.35999998,155309553.70000002,16378468.0,13051223.0,0,0,-0.0014250000000000096,0.021481988105352734,0.0,-0.011627906976743985,5.0
8,00891 中信關鍵半導體,2023-06-12,2023-06-19,2023-06-09,2023-06-16,0.009615384615384616,5.0,3976.0,3981.0,0.025329000724112705,domestic_etf,00891 中信關鍵半導體,13.81,14.18,15.274735883814174,0.008029197080291928,0.00781805259417201,101326441.99000001,150205010.66,7337179.0,10592737.0,0,0,-0.0014250000000000096,0.025329000724112705,0.0,-0.004950495049505066,5.0
9,00893 國泰智能電動車,2023-06-12,2023-06-19,2023-06-09,2023-06-16,0.009615384615384616,5.0,3976.0,3981.0,0.04110578884223104,foreign_etf,00893 國泰智能電動車,16.67,17.38,16.67,0.008469449485783542,-0.0005750431282347535,374362040.77000004,284110077.9,22457231.0,16346955.0,0,0,-0.0014250000000000096,0.047096040791841265,0.0,-0.00572082379862715,5.0
