trade_index,symbol,entry_date,exit_date,entry_sig_date,exit_sig_date,position,period,entry_index,exit_index,return,industry,stock_id,trade_price@entry_date,trade_price@exit_date,adj_close@entry_date,pct_change@entry_date,pct_change@exit_date,turnover@entry_date,turnover@exit_date,volume@entry_date,volume@exit_date,類別@entry_sig_date,類別@exit_sig_date,mae,gmfe,bmfe,mdd,pdays,holding_days
0,0050 元大台灣50,2023-06-26,2023-07-13,2023-06-21,2023-07-12,0.0181818181818181,13,3984,3997,0.0029677102605971,domestic_etf,0050 元大台灣50,129.75,130.9,236.3052496399799,-0.0061279203370356,0.011201235998455,1032999305.25,2123986018.0,7961459.0,16226020.0,0,0,-0.0191261368015414,0.0081951830443161,0.0081951830443161,-0.0270992366412214,4.0,17.0
1,0056 元大高股息,2023-06-26,2023-07-13,2023-06-21,2023-07-12,0.0181818181818181,13,3984,3997,0.0563479573348337,domestic_etf,0056 元大高股息,32.77,34.82,70.52995853394098,-0.0018275967103257,0.0151603498542274,854289027.57,4261629166.58,26069241.0,122390269.0,0,0,-0.0194036161122979,0.0610430729325603,0.0,-0.0244765555883217,9.0,17.0
2,00690 兆豐藍籌30,2023-06-26,2023-07-13,2023-06-21,2023-07-12,0.0181818181818181,13,3984,3997,-0.0029494984343163,domestic_etf,00690 兆豐藍籌30,27.48,27.56,37.60787507720683,-0.0115107913669064,0.0095238095238094,13007740.44,24724875.24,473353.0,897129.0,0,0,-0.0141433860989813,0.0072961790393011,0.0072961790393011,-0.0212842712842713,5.0,17.0
3,00693U 期街口S&P黃豆,2023-06-26,2023-07-13,2023-06-21,2023-07-12,0.0181818181818181,13,3984,3997,0.0171404697550459,vanilla_futures_etf,00693U 期街口S&P黃豆,27.25,27.88,27.25,-0.0281740370898715,-0.0292479108635097,10872205.0,8211133.96,398980.0,294517.0,0,0,-0.0292751651376147,0.0524430825688075,0.0,-0.0338923829489866,9.0,17.0
4,00701 國泰股利精選30,2023-06-26,2023-07-13,2023-06-21,2023-07-12,0.0181818181818181,13,3984,3997,0.0174970227089135,domestic_etf,00701 國泰股利精選30,25.13,25.72,32.01348345223384,0.0,0.0090231463318948,32572852.62,93311517.0,1296174.0,3627975.0,0,0,-0.0169221846398728,0.0220194588141662,0.0116880023875844,-0.0282796543597801,5.0,17.0
5,00731 復華富時高息低波,2023-06-26,2023-07-13,2023-06-21,2023-07-12,0.0181818181818181,13,3984,3997,0.0349905298686807,domestic_etf,00731 復華富時高息低波,63.3,65.9,82.26771810458366,-0.0047169811320754,0.0130668716372022,50236335.9,88547259.9,793623.0,1343661.0,0,0,-0.0140452211690363,0.039590718799368,0.0,-0.0271739130434782,6.0,17.0
6,00733 富邦臺灣中小,2023-06-26,2023-07-13,2023-06-21,2023-07-12,0.0181818181818181,13,3984,3997,0.1716914886077976,domestic_etf,00733 富邦臺灣中小,48.83,57.55,57.42129890086861,-0.0169116166700222,0.0285969615728327,27337524.33,114738240.7,559851.0,1993714.0,0,0,-0.0396665574441941,0.176899267868114,0.0,-0.0396665574441941,10.0,17.0
7,00830 國泰費城半導體,2023-06-26,2023-07-13,2023-06-21,2023-07-12,0.0181818181818181,13,3984,3997,0.0604753382630587,foreign_etf,00830 國泰費城半導體,31.78,33.75,35.17075987759113,-0.0313928680280403,0.0150375939849625,164327261.28,194017612.5,5170776.0,5748670.0,0,0,-0.0023676447451226,0.0604753382630587,0.0,-0.0260479041916168,12.0,17.0
8,00876 元大全球5G,2023-06-26,2023-07-13,2023-06-21,2023-07-12,0.0181818181818181,13,3984,3997,0.0415208262783606,foreign_etf,00876 元大全球5G,29.53,30.8,29.53,-0.0202388852023888,0.010498687664042,12901066.4,25939606.0,436880.0,842195.0,0,0,-0.001425,0.0415208262783606,0.0,-0.0227642276422763,12.0,17.0
9,00877 復華中國5G,2023-06-26,2023-07-13,2023-06-21,2023-07-12,0.0181818181818181,13,3984,3997,0.0245719268635267,其他證券,00877 復華中國5G,11.44,11.79,11.44,-0.0394626364399665,0.01114922813036,20456824.96,9519882.66,1788184.0,807454.0,0,0,-0.0267385270979021,0.0361088505244753,0.0,-0.0311710193765796,10.0,17.0
10,00878 國泰永續高股息,2023-06-26,2023-07-13,2023-06-21,2023-07-12,0.0181818181818181,13,3984,3997,0.0586114602946705,domestic_etf,00878 國泰永續高股息,19.28,20.53,22.52284309445593,-0.0036175710594316,0.0168400198117879,983620639.04,3729612403.27,51017668.0,181666459.0,0,0,-0.0143733272821576,0.0633166364107882,0.0,-0.0227732793522267,9.0,17.0
11,00881 國泰台灣科技龍頭,2023-06-26,2023-07-13,2023-06-21,2023-07-12,0.0181818181818181,13,3984,3997,0.0442885998810937,domestic_etf,00881 國泰台灣科技龍頭,16.82,17.59,18.672092564568665,-0.0094228504122496,0.0161756210283074,166118726.84,816968816.48,9876262.0,46445072.0,0,0,-0.010330246730083,0.0442885998810937,0.0,-0.0294797687861274,7.0,17.0
12,00888 永豐台灣ESG,2023-06-26,2023-07-13,2023-06-21,2023-07-12,0.0181818181818181,13,3984,3997,-0.0100004454786586,其他證券,00888 永豐台灣ESG,14.35,14.29,15.783354530173542,-0.0076071922544952,0.0063380281690139,64121310.4,115761675.23,4468384.0,8100887.0,0,0,-0.0216052613240416,0.0,0.0,-0.0216052613240416,0.0,17.0
13,00891 中信關鍵半導體,2023-06-26,2023-07-13,2023-06-21,2023-07-12,0.0181818181818181,13,3984,3997,-0.009427531093187,domestic_etf,00891 中信關鍵半導體,13.87,13.82,15.341099689247107,-0.0099928622412562,0.0072886297376093,80421658.14999999,84821479.98,5798245.0,6137589.0,0,0,-0.0215836878154292,0.0064944844989183,0.0064944844989183,-0.0278969957081546,3.0,17.0
14,00893 國泰智能電動車,2023-06-26,2023-07-13,2023-06-21,2023-07-12,0.0181818181818181,13,3984,3997,0.0717998965109396,foreign_etf,00893 國泰智能電動車,16.91,18.15,16.91,-0.0451722190852625,0.0168067226890755,369289102.64,513159959.4,21838504.0,28273276.0,0,0,-0.022683840922531,0.0717998965109396,0.0,-0.022683840922531,11.0,17.0
15,00894 中信小資高價30,2023-06-26,2023-07-13,2023-06-21,2023-07-12,0.0181818181818181,13,3984,3997,0.0226966780352873,domestic_etf,00894 中信小資高價30,14.63,15.05,15.617678218989491,-0.0088075880758807,0.0148347943358058,13210451.1,58239647.2,902970.0,3869744.0,0,0,-0.0109807416267943,0.0279247778537254,0.0,-0.0318725099601593,8.0,17.0
16,00895 富邦未來車,2023-06-26,2023-07-13,2023-06-21,2023-07-12,0.0181818181818181,13,3984,3997,0.0514124799572417,foreign_etf,00895 富邦未來車,18.71,19.7,18.71,-0.0365602471678682,0.0159876224858173,132455050.12,109522406.1,7079372.0,5559513.0,0,0,-0.0238409005879209,0.0514124799572417,0.0,-0.0238409005879209,11.0,17.0
17,00896 中信綠能及電動車,2023-06-26,2023-07-13,2023-06-21,2023-07-12,0.0181818181818181,13,3984,3997,0.034965318097591,domestic_etf,00896 中信綠能及電動車,16.19,16.78,17.024407026656633,-0.0097859327217125,0.0126735063367531,32334570.860000003,76455318.08,1997194.0,4556336.0,0,0,-0.0162278412600371,0.034965318097591,0.0,-0.0254237288135593,7.0,17.0
18,00900 富邦特選高股息30,2023-06-26,2023-07-13,2023-06-21,2023-07-12,0.0181818181818181,13,3984,3997,0.0749462787828942,domestic_etf,00900 富邦特選高股息30,12.16,13.09,13.813801259962808,-0.0121852152721363,0.0178849144634525,144882727.68,431742207.82,11914698.0,32982598.0,0,0,-0.0129217516447369,0.0749462787828942,0.0,-0.0190174326465928,10.0,17.0
19,00901 永豐智能車供應鏈,2023-06-26,2023-07-13,2023-06-21,2023-07-12,0.0181818181818181,13,3984,3997,0.0346346527777781,domestic_etf,00901 永豐智能車供應鏈,14.4,14.92,15.056716417910446,-0.0123456790123456,0.0156569094622192,8804808.0,96679600.72,611445.0,6479866.0,0,0,-0.0111333680555555,0.0346346527777781,0.0,-0.0317997293640052,7.0,17.0
20,00903 富邦元宇宙,2023-06-26,2023-07-13,2023-06-21,2023-07-12,0.0181818181818181,13,3984,3997,0.0945753433476395,foreign_etf,00903 富邦元宇宙,11.65,12.77,11.65,-0.02428810720268,0.0340080971659919,32288394.4,60269177.07,2771536.0,4719591.0,0,0,-0.0151393347639484,0.0945753433476395,0.0,-0.0173267326732672,12.0,17.0
21,00905 FT臺灣Smart,2023-06-26,2023-07-13,2023-06-21,2023-07-12,0.0181818181818181,13,3984,3997,0.0233961969669118,domestic_etf,00905 FT臺灣Smart,9.86,10.15,10.158118701007837,-0.0050454086781029,0.0119641076769692,12211531.12,78922116.7,1238492.0,7775578.0,0,0,-0.0085142748478702,0.0279448529411765,0.0,-0.0257171117705241,8.0,17.0
22,00917 中信特選金融,2023-06-26,2023-07-13,2023-06-21,2023-07-12,0.0181818181818181,13,3984,3997,0.0362945328031814,foreign_etf,00917 中信特選金融,15.09,15.66,15.09,-0.0194931773879142,0.0057803468208093,2517238.35,16701906.78,166815.0,1066533.0,0,0,-0.001425,0.0362945328031814,0.0,-0.0179372197309415,12.0,17.0
23,020022 元大電動車N,2023-06-26,2023-07-13,2023-06-21,2023-07-12,0.0181818181818181,13,3984,3997,0.1339081907894741,其他證券,020022 元大電動車N,7.6,8.63,7.6,-0.0231362467866325,0.0237247924080665,7524000.0,14317170.000000002,990000.0,1659000.0,0,0,-0.0211337171052631,0.1339081907894741,0.0,-0.0293757649938798,10.0,17.0
24,1108 幸福,2023-06-26,2023-07-13,2023-06-21,2023-07-12,0.0181818181818181,13,3984,3997,-0.0378194819828215,水泥工業,1108 幸福,17.1,16.55,28.522663851507925,0.002932551319648,0.021604938271605,29480365.8,47200235.9,1723998.0,2851978.0,0,0,-0.0598211988304091,0.0044146198830408,0.0044146198830408,-0.0639534883720926,2.0,17.0
25,1215 卜蜂,2023-06-26,2023-07-13,2023-06-21,2023-07-12,0.0181818181818181,13,3984,3997,-0.0436762810584033,食品工業,1215 卜蜂,94.6,91.0,247.721189969514,0.0010582010582009,-0.0032858707557501,59973278.2,61548851.0,633967.0,676361.0,0,0,-0.0436480443974628,0.0101863372093025,0.0101863372093025,-0.0532915360501567,2.0,17.0
26,1217 愛之味,2023-06-26,2023-07-13,2023-06-21,2023-07-12,0.0181818181818181,13,3984,3997,0.02279455311214,食品工業,1217 愛之味,12.15,12.5,13.132157387257978,0.0167364016736402,-0.0118577075098814,95057712.0,40016350.0,7823680.0,3201308.0,0,0,-0.0260811728395061,0.05199670781893,0.0,-0.03125,10.0,17.0
27,1234 黑松,2023-06-26,2023-07-13,2023-06-21,2023-07-12,0.0181818181818181,13,3984,3997,-0.0120793697585028,食品工業,1234 黑松,41.95,39.85,64.99585832795023,-0.0071005917159764,0.0,39838866.25,10190760.8,949675.0,255728.0,0,0,-0.0395112932061977,0.0,0.0,-0.0395112932061977,0.0,17.0
28,1444 力麗,2023-06-26,2023-07-13,2023-06-21,2023-07-12,0.0181818181818181,13,3984,3997,-0.0012623289112897,紡織纖維,1444 力麗,10.85,10.9,21.756231702463506,-0.0045871559633028,-0.0135746606334841,17295822.25,31445638.9,1594085.0,2884921.0,0,0,-0.001425,0.0491940092165901,0.0,-0.0438596491228067,13.0,17.0
29,1447 力鵬,2023-06-26,2023-07-13,2023-06-21,2023-07-12,0.0181818181818181,13,3984,3997,-0.0195993162138368,紡織纖維,1447 力鵬,7.95,7.84,13.555675127434286,-0.0050062578222778,-0.0050761421319797,5052185.25,14133552.16,635495.0,1802749.0,0,0,-0.0252903144654089,0.0086235534591192,0.0086235534591192,-0.033623910336239,3.0,17.0
30,1616 億泰,2023-06-26,2023-07-13,2023-06-21,2023-07-12,0.0181818181818181,13,3984,3997,-0.1100347482396285,電器電纜,1616 億泰,11.45,10.25,13.627102591715104,0.0269058295964124,0.0,18680675.0,7125000.5,1631500.0,695122.0,0,0,-0.1060791484716155,0.0,0.0,-0.1060791484716155,0.0,17.0
31,1786 科妍,2023-06-26,2023-07-13,2023-06-21,2023-07-12,0.0181818181818181,13,3984,3997,0.0742481819093665,生技醫療業,1786 科妍,78.2,84.5,107.17164971471462,-0.0151133501259446,-0.0185830429732868,47008835.2,66165528.0,601136.0,783024.0,0,0,-0.001425,0.1658554667519178,0.0,-0.0744797371303397,13.0,17.0
32,2431 聯昌,2023-06-26,2023-07-13,2023-06-21,2023-07-12,0.0181818181818181,13,3984,3997,-0.0866694102794716,電子零組件業,2431 聯昌,12.3,11.3,17.8751697044325,-0.0238095238095237,-0.0044052863436121,5578861.800000001,5026974.5,453566.0,444865.0,0,0,-0.0826099593495935,0.0,0.0,-0.0826099593495935,0.0,17.0
33,2462 良得電,2023-06-26,2023-07-13,2023-06-21,2023-07-12,0.0181818181818181,13,3984,3997,-0.1324785385761344,電子零組件業,2462 良得電,34.15,29.8,101.61317030410378,0.0088626292466764,-0.009966777408638,75599972.3,35303136.2,2213762.0,1184669.0,0,0,-0.1286226939970715,0.0482844436310396,0.0482844436310396,-0.1687587168758715,2.0,17.0
34,2485 兆赫,2023-06-26,2023-07-13,2023-06-21,2023-07-12,0.0181818181818181,13,3984,3997,-0.0132260431791461,通信網路業,2485 兆赫,20.2,20.05,52.02679002161686,-0.0098039215686274,-0.0049627791563273,36733013.2,38523648.95,1818466.0,1921379.0,0,0,-0.0187270420792078,0.094972091584158,0.0,-0.094808126410835,10.0,17.0
